11-09 16:42:56.616 |-INFO  o.s.b.t.c.SpringBootTestContextBootstrapper:305 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.tanmu.SpringbootExamAdminApplicationTests], using SpringBootContextLoader
11-09 16:42:56.654 |-INFO  o.s.t.c.s.AbstractContextLoader:264 - Could not detect default resource locations for test class [com.tanmu.SpringbootExamAdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
11-09 16:42:56.656 |-INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils:83 - Could not detect default configuration classes for test class [com.tanmu.SpringbootExamAdminApplicationTests]: SpringbootExamAdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
11-09 16:42:57.010 |-INFO  o.s.b.t.c.SpringBootTestContextBootstrapper:238 - Found @SpringBootConfiguration com.tanmu.SpringbootExamAdminApplication for test class com.tanmu.SpringbootExamAdminApplicationTests
11-09 16:42:57.413 |-INFO  o.s.b.t.c.SpringBootTestContextBootstrapper:245 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
11-09 16:42:57.540 |-INFO  o.s.b.t.c.SpringBootTestContextBootstrapper:174 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5a7fe64f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@38145825, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@41330d4f, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1b66c0fb, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@3e0e1046, org.springframework.test.context.support.DirtiesContextTestExecutionListener@24c1b2d2, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7dc19a70, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@508dec2b, org.springframework.test.context.event.EventPublishingTestExecutionListener@1e4f4a5c, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@37313c65, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@465232e9, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@798162bc, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1df8da7a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@23941fb4, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7486b455]
11-09 16:42:58.623 |-INFO  c.t.SpringbootExamAdminApplicationTests:55 - Starting SpringbootExamAdminApplicationTests using Java 1.8.0_40 on DESKTOP-LQP69KC with PID 24724 (started by XA-GDD in C:\Users\Administrator\Desktop\20211105\springboot-exam-admin)
11-09 16:42:58.627 |-INFO  c.t.SpringbootExamAdminApplicationTests:659 - No active profile set, falling back to default profiles: default
11-09 16:43:00.903 |-INFO  c.t.c.AjCaptchaServiceAutoConfiguration:33 - 自定义配置项：
AjCaptchaProperties{type=DEFAULT, jigsaw='', picClick='', waterMark='檀木科技', waterFont='WenQuanZhengHei.ttf', fontType='WenQuanZhengHei.ttf', slipOffset='5', aesStatus=true, interferenceOptions='1', cacheNumber='1000', timingClear='180', cacheType=local, reqFrequencyLimitEnable=false, reqGetLockLimit=5, reqGetLockSeconds=300, reqGetMinuteLimit=100, reqCheckMinuteLimit=100, reqVerifyMinuteLimit=100}
11-09 16:43:00.913 |-INFO  c.a.c.s.impl.CaptchaServiceFactory:52 - supported-captchaCache-service:[local]
11-09 16:43:00.922 |-INFO  c.a.c.s.impl.CaptchaServiceFactory:58 - supported-captchaTypes-service:[clickWord, default, blockPuzzle]
11-09 16:43:00.961 |-INFO  com.anji.captcha.util.ImageUtils:48 - 初始化底图:[SLIDING_BLOCK=[Ljava.lang.String;@252f626c, ORIGINAL=[Ljava.lang.String;@33f98231, PIC_CLICK=[Ljava.lang.String;@48284d0e]
11-09 16:43:00.961 |-INFO  c.a.c.s.i.ClickWordCaptchaServiceImpl:76 - --->>>初始化验证码底图<<<---clickWord
11-09 16:43:01.361 |-INFO  c.a.c.s.i.ClickWordCaptchaServiceImpl:92 - 初始化local缓存...
11-09 16:43:01.505 |-INFO  com.anji.captcha.util.ImageUtils:48 - 初始化底图:[SLIDING_BLOCK=[Ljava.lang.String;@681adc8f, ORIGINAL=[Ljava.lang.String;@3506d826, PIC_CLICK=[Ljava.lang.String;@35dd9ed3]
11-09 16:43:01.505 |-INFO  c.a.c.s.i.BlockPuzzleCaptchaServiceImpl:76 - --->>>初始化验证码底图<<<---blockPuzzle
11-09 16:43:01.631 |-INFO  c.a.c.s.i.BlockPuzzleCaptchaServiceImpl:92 - 初始化local缓存...
11-09 16:43:05.122 |-INFO  c.t.SpringbootExamAdminApplicationTests:61 - Started SpringbootExamAdminApplicationTests in 7.332 seconds (JVM running for 10.702)
11-09 16:43:05.637 |-INFO  com.zaxxer.hikari.HikariDataSource:110 - HikariPool-1 - Starting...
11-09 16:43:06.190 |-INFO  com.zaxxer.hikari.HikariDataSource:123 - HikariPool-1 - Start completed.
11-09 16:43:06.496 |-INFO  com.zaxxer.hikari.HikariDataSource:350 - HikariPool-1 - Shutdown initiated...
11-09 16:43:06.544 |-INFO  com.zaxxer.hikari.HikariDataSource:352 - HikariPool-1 - Shutdown completed.
