11-30 18:40:09.713 |-INFO  o.s.b.t.c.SpringBootTestContextBootstrapper:305 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.tanmu.SpringbootExamAdminApplicationTests], using SpringBootContextLoader
11-30 18:40:09.724 |-INFO  o.s.t.c.s.AbstractContextLoader:264 - Could not detect default resource locations for test class [com.tanmu.SpringbootExamAdminApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
11-30 18:40:09.725 |-INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils:83 - Could not detect default configuration classes for test class [com.tanmu.SpringbootExamAdminApplicationTests]: SpringbootExamAdminApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
11-30 18:40:09.823 |-INFO  o.s.b.t.c.SpringBootTestContextBootstrapper:238 - Found @SpringBootConfiguration com.tanmu.SpringbootExamAdminApplication for test class com.tanmu.SpringbootExamAdminApplicationTests
11-30 18:40:09.909 |-INFO  o.s.b.t.c.SpringBootTestContextBootstrapper:245 - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
11-30 18:40:09.928 |-INFO  o.s.b.t.c.SpringBootTestContextBootstrapper:174 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@27912e3, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@34b9f960, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@43015c69, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@19b89d4, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4bbf6d0e, org.springframework.test.context.support.DirtiesContextTestExecutionListener@30b6ffe0, org.springframework.test.context.transaction.TransactionalTestExecutionListener@791d1f8b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2415fc55, org.springframework.test.context.event.EventPublishingTestExecutionListener@14f232c4, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@13bc8645, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@24c22fe, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@93081b6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@cd1e646, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7ba8c737, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@1890516e]
11-30 18:40:10.309 |-INFO  c.t.SpringbootExamAdminApplicationTests:55 - Starting SpringbootExamAdminApplicationTests using Java 1.8.0_131 on DESKTOP-LU2T05S with PID 22548 (started by 杨开林 in G:\exams\springboot-exam-admin)
11-30 18:40:10.312 |-INFO  c.t.SpringbootExamAdminApplicationTests:659 - No active profile set, falling back to default profiles: default
11-30 18:40:11.570 |-INFO  c.t.c.AjCaptchaServiceAutoConfiguration:33 - 自定义配置项：
AjCaptchaProperties{type=DEFAULT, jigsaw='', picClick='', waterMark='檀木科技', waterFont='WenQuanZhengHei.ttf', fontType='WenQuanZhengHei.ttf', slipOffset='5', aesStatus=true, interferenceOptions='1', cacheNumber='1000', timingClear='180', cacheType=local, reqFrequencyLimitEnable=false, reqGetLockLimit=5, reqGetLockSeconds=300, reqGetMinuteLimit=100, reqCheckMinuteLimit=100, reqVerifyMinuteLimit=100}
11-30 18:40:11.578 |-INFO  c.a.c.s.impl.CaptchaServiceFactory:52 - supported-captchaCache-service:[local]
11-30 18:40:11.586 |-INFO  c.a.c.s.impl.CaptchaServiceFactory:58 - supported-captchaTypes-service:[clickWord, default, blockPuzzle]
11-30 18:40:11.622 |-INFO  com.anji.captcha.util.ImageUtils:48 - 初始化底图:[SLIDING_BLOCK=[Ljava.lang.String;@7c1c5936, ORIGINAL=[Ljava.lang.String;@7aead3af, PIC_CLICK=[Ljava.lang.String;@3ac8cf9b]
11-30 18:40:11.624 |-INFO  c.a.c.s.i.ClickWordCaptchaServiceImpl:76 - --->>>初始化验证码底图<<<---clickWord
11-30 18:40:13.173 |-INFO  c.a.c.s.i.ClickWordCaptchaServiceImpl:92 - 初始化local缓存...
11-30 18:40:13.267 |-INFO  com.anji.captcha.util.ImageUtils:48 - 初始化底图:[SLIDING_BLOCK=[Ljava.lang.String;@4a7a965d, ORIGINAL=[Ljava.lang.String;@507b79f7, PIC_CLICK=[Ljava.lang.String;@64a9d48c]
11-30 18:40:13.267 |-INFO  c.a.c.s.i.BlockPuzzleCaptchaServiceImpl:76 - --->>>初始化验证码底图<<<---blockPuzzle
11-30 18:40:13.344 |-INFO  c.a.c.s.i.BlockPuzzleCaptchaServiceImpl:92 - 初始化local缓存...
11-30 18:40:17.236 |-INFO  c.t.SpringbootExamAdminApplicationTests:61 - Started SpringbootExamAdminApplicationTests in 7.261 seconds (JVM running for 8.303)
11-30 18:40:17.500 |-INFO  com.zaxxer.hikari.HikariDataSource:110 - HikariPool-1 - Starting...
11-30 18:40:17.972 |-INFO  com.zaxxer.hikari.HikariDataSource:123 - HikariPool-1 - Start completed.
11-30 18:40:18.074 |-INFO  com.zaxxer.hikari.HikariDataSource:350 - HikariPool-1 - Shutdown initiated...
11-30 18:40:18.082 |-INFO  com.zaxxer.hikari.HikariDataSource:352 - HikariPool-1 - Shutdown completed.
